
------------------------------------

<-1	Подключаем ядро	1249156973.3836	0.00066590309143066	1
<-15	Чистим переменные	1249156973.3991	0.016143798828125	16
<-2	Начинаем работу	1249156973.4013	0.018328905105591	18
<-0	Подключаемся к базе	1249156973.4014	0.018420934677124	18
<-1	Считаем $request	1249156973.4022	0.019235849380493	19
<-0	Создаем DOM	1249156973.4023	0.019343852996826	19
<-0	Ищем XML и page	1249156973.4024	0.019481897354126	19
<-10	XSLT-трасформация	1249156973.4123	0.029383897781372	29
<-5	Финиш	1249156973.4174	0.034495830535889	34
------------------------------------

<-1	Подключаем ядро	1249157001.2054	0.00068902969360352	1
<-15	Чистим переменные	1249157001.2206	0.015881061553955	16
<-2	Начинаем работу	1249157001.2228	0.018079042434692	18
<-0	Подключаемся к базе	1249157001.2229	0.018180847167969	18
<-2	Считаем $request	1249157001.2249	0.020144939422607	20
<-0	Создаем DOM	1249157001.225	0.020263910293579	20
<-0	Ищем XML и page	1249157001.2252	0.020408868789673	20
<-6	XSLT-трасформация	1249157001.2304	0.025704860687256	26
<-4	Финиш	1249157001.2344	0.029639005661011	30
------------------------------------

<-0	Подключаем ядро	1249157002.3289	0.00039386749267578	0
<-11	Чистим переменные	1249157002.3397	0.011210918426514	11
<-3	Начинаем работу	1249157002.342	0.013584852218628	14
<-0	Подключаемся к базе	1249157002.3422	0.013696908950806	14
<-1	Считаем $request	1249157002.343	0.014505863189697	15
<-0	Создаем DOM	1249157002.3431	0.014627933502197	15
<-0	Ищем XML и page	1249157002.3432	0.014770030975342	15
<-9	XSLT-трасформация	1249157002.3521	0.023612976074219	24
<-6	Финиш	1249157002.3585	0.030055999755859	30
------------------------------------

<-0	Подключаем ядро	1249157004.2053	0.00038909912109375	0
<-11	Чистим переменные	1249157004.2162	0.011211156845093	11
<-3	Начинаем работу	1249157004.219	0.01409912109375	14
<-0	Подключаемся к базе	1249157004.2191	0.014200210571289	14
<-1	Считаем $request	1249157004.2199	0.014949083328247	15
<-0	Создаем DOM	1249157004.22	0.015050172805786	15
<-0	Ищем XML и page	1249157004.2201	0.015186071395874	15
<-6	XSLT-трасформация	1249157004.2259	0.020953178405762	21
<-4	Финиш	1249157004.2298	0.024860143661499	25
------------------------------------

<-1	Подключаем ядро	1249157009.9742	0.00054001808166504	1
<-11	Чистим переменные	1249157009.9853	0.011598110198975	12
<-2	Начинаем работу	1249157009.9875	0.013801097869873	14
<-0	Подключаемся к базе	1249157009.9876	0.013899087905884	14
<-1	Считаем $request	1249157009.9883	0.014653205871582	15
<-0	Создаем DOM	1249157009.9884	0.014750003814697	15
<-0	Ищем XML и page	1249157009.9886	0.014885187149048	15
<-5	XSLT-трасформация	1249157009.9936	0.01993203163147	20
<-4	Финиш	1249157009.9979	0.024216175079346	24
------------------------------------

<-0	Подключаем ядро	1249157011.0618	0.00036478042602539	0
<-11	Чистим переменные	1249157011.0725	0.01103687286377	11
<-2	Начинаем работу	1249157011.0745	0.013132810592651	13
<-0	Подключаемся к базе	1249157011.0746	0.013217926025391	13
<-1	Считаем $request	1249157011.0754	0.014019012451172	14
<-0	Создаем DOM	1249157011.0755	0.014120817184448	14
<-0	Ищем XML и page	1249157011.0757	0.01426100730896	14
<-9	XSLT-трасформация	1249157011.0842	0.022781848907471	23
<-5	Финиш	1249157011.0899	0.028479814529419	28
------------------------------------

<-0	Подключаем ядро	1249157013.4084	0.0003659725189209	0
<-11	Чистим переменные	1249157013.4191	0.011003971099854	11
<-2	Начинаем работу	1249157013.4212	0.013106107711792	13
<-0	Подключаемся к базе	1249157013.4213	0.013200998306274	13
<-1	Считаем $request	1249157013.422	0.013944149017334	14
<-0	Создаем DOM	1249157013.4221	0.014043092727661	14
<-0	Ищем XML и page	1249157013.4223	0.014179944992065	14
<-6	XSLT-трасформация	1249157013.428	0.01991605758667	20
<-4	Финиш	1249157013.432	0.023961067199707	24
------------------------------------

<-0	Подключаем ядро	1249157042.7379	0.00040912628173828	0
<-11	Чистим переменные	1249157042.7485	0.011064052581787	11
<-2	Начинаем работу	1249157042.7506	0.013164043426514	13
<-0	Подключаемся к базе	1249157042.7507	0.013244152069092	13
<-1	Считаем $request	1249157042.7515	0.013993978500366	14
<-0	Создаем DOM	1249157042.7516	0.014096021652222	14
<-0	Ищем XML и page	1249157042.7517	0.014233112335205	14
<-9	XSLT-трасформация	1249157042.7605	0.022990942001343	23
<-6	Финиш	1249157042.7662	0.028747081756592	29
------------------------------------

<-0	Подключаем ядро	1249157063.944	0.00038385391235352	0
<-11	Чистим переменные	1249157063.9545	0.01092791557312	11
<-3	Начинаем работу	1249157063.9573	0.013671875	14
<-0	Подключаемся к базе	1249157063.9574	0.013762950897217	14
<-1	Считаем $request	1249157063.9581	0.014509916305542	15
<-0	Создаем DOM	1249157063.9582	0.014605045318604	15
<-0	Ищем XML и page	1249157063.9584	0.01474404335022	15
<-5	XSLT-трасформация	1249157063.9635	0.019880056381226	20
<-4	Финиш	1249157063.9673	0.023732900619507	24
------------------------------------

<-1	Подключаем ядро	1249157065.2901	0.00067901611328125	1
<-13	Чистим переменные	1249157065.303	0.013570070266724	14
<-2	Начинаем работу	1249157065.3052	0.015767097473145	16
<-0	Подключаемся к базе	1249157065.3053	0.015856027603149	16
<-1	Считаем $request	1249157065.3061	0.016663074493408	17
<-0	Создаем DOM	1249157065.3062	0.016784191131592	17
<-0	Ищем XML и page	1249157065.3064	0.016926050186157	17
<-9	XSLT-трасформация	1249157065.3154	0.025941133499146	26
<-7	Финиш	1249157065.3222	0.032803058624268	33
